OPTIONS: speech-language=en
it
is
at
the
my
name
cq
wx|weather
tu|to you
ur|you are
fer|for
hw?|how copy?
btu|back to you
tnx|thanks
cul|see you later
fb|fine business
agn|again
abt|about
5nn|5 9 9
73|best regards
88|hugs and kisses
yl|young lady
om|old man
xyl|wife
ant|antenna
rig
qth|location
qrx|stand by
qrm|interference
qrn|noise
qsb|signal fading
de|from
hr|here
